Class,Knowledge,Enthusiasm,Organization,Preparedness,Explain Concepts,Speaking Ability,Approachability,Encourage Discussion,Effectiveness of Eg.,Rating
HPC Fall 2015,4.714285714,4.857142857,4.571428571,4.571428571,4.571428571,4.571428571,4.857142857,4.857142857,4.571428571,AA
ECPE127 Spring 16,4.8125,4.84375,4.78125,4.75,4.4375,4.625,4.84375,4.625,4.516129032,AA
ECPE 170 Spring 16,4.181818182,4.3,4.363636364,4.272727273,3.909090909,4.222222222,4.181818182,4,4.272727273,BA
ECPE124 Fall 16,4.714285714,5,4.666666667,4.636363636,4.285714286,4.666666667,4.571428571,4.571428571,4.285714286,AA
ECPE 170 Fall 16,4.4,4.65,4.1,4.2,3.85,4.3,4.25,4.210526316,3.75,BA
ENGR250 Summer 16/17,4.75,4.625,4.375,4.375,4.142857143,4.75,4.75,4.75,4.75,AA
ECPE127 Spring 17,4.826086957,4.956521739,4.739130435,4.782608696,4.47826087,4.608695652,4.956521739,4.826086957,4.782608696,AA
ECPE 239 Spring 17,5,5,4.928571429,4.785714286,4.428571429,5,5,4.714285714,4.857142857,E
ECPE 174 Fall 17,3.25,4.25,3.5,3.25,3,3.75,4.5,4,3.666666667,P
ECPE 127 Spring 18,5,5,5,5,4.857142857,5,5,5,5,E
ECPE 170 Spring 18,4.181818182,4.8,4.9,4.6,4.6,4.8,4.8,4.4,4.6,AA
ECPE 5 Spring 18,4.916666667,4.833333333,4.5,4.75,4.666666667,4.833333333,4.75,4.833333333,4.75,AA
Engr 250 Summer 18,5,5,5,5,4.6,4.8,5,4.8,4.8,AA
ECPE 124 Fall 18,5,5,5,5,4.333333333,4.666666667,5,5,5,AA
ECPE 170 Fall 18,4.722222222,4.722222222,4.5,4.555555556,4.388888889,4.5,4.222222222,4.666666667,4.555555556,AA
ECPE 5 Spring 19,4.846153846,5,4.769230769,4.769230769,4.615384615,4.769230769,4.846153846,4.692307692,4.666666667,AA
ECPE 127 Spring 19,4.833333333,5,4.888888889,4.888888889,4.611111111,4.833333333,4.833333333,4.833333333,4.777777778,E
ECPE 251 Spring 19,5,5,4.875,4.875,5,5,5,5,4.875,E
ECPE 170 Fall 19,5,4.947368421,4.842105263,4.789473684,4.789473684,4.842105263,4.842105263,5,4.894736842,E
ECPE 174 Fall 19,4,5,4.666666667,4.666666667,4.666666667,5,5,5,5,AA
,2.766581476,4.307034017,3.055430238,4.505493538,3.305371072,3.669063465,3.63449571,3.505479786,4.168396056,BA
,4.372999967,3.796747816,4.074099994,4.250140063,4.168232272,4.019882052,4.170892447,4.253898253,4.14903913,Av
,4.463235255,4.509837465,4.681688567,4.416587424,4.592812384,4.446238225,4.572768064,4.563938798,4.500160168,AA
,4.929047875,4.592506287,4.694749296,4.625259362,4.360719194,4.635953254,4.334658588,4.347827864,4.418522363,AA
,4.500535183,4.308903247,4.602824636,4.36949478,4.52695476,4.560550599,4.475463515,4.49524082,4.358077454,AA
,2.770376832,4.060296308,3.1025149,3.900582177,3.804341773,3.682510355,4.341352551,3.578037404,2.950745394,P
,4.02730668,3.193291308,4.356258889,3.52687309,4.121786169,3.726958059,4.261275507,4.289684663,3.553151712,Av
,4.136722592,3.56466986,3.754182225,3.574875643,3.307767435,3.199547927,3.832816686,3.561747862,3.889888508,BA
,4.197411812,3.333299988,3.763930437,2.926591884,3.229163571,4.676288721,3.877465789,3.423422089,4.128755318,BA
,3.712447141,2.418716683,3.758219419,2.898126708,2.791615508,3.179122051,3.277811453,3.276814439,2.983010079,E
,2.997744532,2.728705235,3.065251459,3.847805699,3.605800192,3.597984082,3.462811089,3.782351795,3.876817357,E
,3.165609826,3.027971739,2.973093749,3.184795445,3.455910098,3.219930488,2.996719316,3.240910272,3.049128575,E
,3.688588569,2.945713146,3.278443368,3.939830536,3.084352202,3.13735356,2.836613973,3.679861824,2.830435153,E
,3.477613679,4.214237577,4.109950458,3.92176498,4.02482616,4.110054192,3.538521341,3.46289706,4.138817168,Av
,4.547303727,4.38245644,4.235167317,4.317983662,4.552416342,4.385236798,4.536071585,4.819512308,4.565047077,AA
,4.221131561,4.727440514,4.879494811,4.412862503,4.567532971,4.580326825,4.262200845,4.50180519,4.345982513,AA
,4.292144033,4.772585532,4.596110111,4.299860042,4.4410828,4.639718575,4.597342644,4.552378934,4.234007221,AA
,4.260664277,4.603316402,4.111919623,4.111809957,4.590001935,4.732701366,4.384526341,4.088461643,4.612597768,AA
